"last_name","frequency"
"Baba","226"
"Coorg","223"
"Gelosh","223"
"Sudbeck","222"
"Farris","222"
"Adachi","221"
"Osgood","220"
"Mandell","218"
"Neiman","218"
"Masada","218"
"Boudaillier","217"
"Wendorf","217"
"Cummings","216"
"Mahnke","216"
"Solares","216"
"Pettis","216"
"Emmart","215"
"Collette","215"
"Maksimenko","215"
"Birjandi","215"
"Kulisch","215"
"Boguraev","214"
"Rosaz","214"
"Pokrovskii","214"
"Scallan","214"
"Stifter","213"
"Siksek","213"
"Wolniewicz","213"
"Morrey","213"
"Siepmann","212"
"Pramanik","212"
"Rajcani","212"
"Garrabrants","212"
"Peek","212"
"Swen","212"
"Rabehasaina","212"
"Herber","212"
"Taubman","212"
"Cangellaris","211"
"Barriga","211"
"Ghemri","211"
"Gente","211"
"Ventosa","211"
"Kitsuregawa","211"
"Kamber","211"
"Asser","211"
"Schaaf","210"
"Redmiles","210"
"Luce","210"
"Bolsens","210"
"Driscoll","210"
"Khasidashvili","209"
"Chenney","209"
"Malabarba","209"
"Gewali","209"
"Lamparter","209"
"Lunt","209"
"Gerlach","209"
"Serra","209"
"Zuberek","209"
"Flowers","209"
"Panienski","208"
"Gecsei","208"
"Jenevein","208"
"Cesareni","208"
"Lowrie","208"
"Aloia","208"
"Angelopoulos","207"
"Akazan","207"
"Lamba","207"
"Garnier","207"
"Perng","206"
"Hebert","206"
"Gaughan","206"
"Duclos","206"
"Foote","206"
"Braunmuhl","206"
"Chimia","206"
"Bondorf","206"
"Emden","205"
"Onuegbe","205"
"Shimshoni","205"
"Panangaden","205"
"Bennet","205"
"Matzov","205"
"Encarnacion","205"
"DeMori","205"
"Aamodt","205"
"Lanphier","205"
"Marakhovsky","205"
"Siprelle","205"
"Geffroy","205"
"Garnham","205"
"Ponthieu","205"
"Ecklund","205"
"Malinowski","204"
"Linares","204"
"Shiratori","204"
"Luders","204"
"Whitcomb","204"
"Legleitner","204"
"Riexinger","204"
"Argence","204"
"Alpin","204"
"Coors","204"
"Shrader","204"
"Desikan","204"
"Swick","204"
"Ghandeharizadeh","203"
"Feinberg","203"
